Day,Animal quantity,Plants quantity,Free fields quantity,Most popular genotype,Avg animal energy,Avg life span
1,5,10,895,[ L2 L2 L2 L1 R3 ],9.0,0.0
2,5,14,895,[ L2 L2 L2 L1 R3 ],8.0,0.0
3,5,18,895,[ L2 L2 L2 L1 R3 ],7.0,0.0
4,5,21,895,[ L2 L2 L2 L1 R3 ],7.0,0.0
5,5,25,895,[ L2 L2 L2 L1 R3 ],5.0,0.0
6,4,29,896,[ L2 L2 L2 L1 R3 ],5.25,6.0
7,4,31,896,[ L2 L2 L2 L1 R3 ],6.75,6.0
8,4,35,896,[ L2 L2 L2 L1 R3 ],5.75,6.0
9,4,39,896,[ L2 L2 L2 L1 R3 ],4.75,6.0
10,3,42,897,[ L2 L2 L2 L1 R3 ],6.666666666666667,8.0
