Day,Animal quantity,Plants quantity,Free fields quantity,Most popular genotype,Avg animal energy,Avg life span
1,5,10,895,[ R2 L3 R1 L3 B0 ],9.0,0.0
2,5,14,895,[ R2 L3 R1 L3 B0 ],8.0,0.0
3,5,18,895,[ R2 L3 R1 L3 B0 ],7.0,0.0
4,5,21,895,[ R2 L3 R1 L3 B0 ],7.0,0.0
5,5,25,895,[ R2 L3 R1 L3 B0 ],6.0,0.0
6,5,29,895,[ R2 L3 R1 L3 B0 ],5.0,0.0
7,5,33,895,[ R2 L3 R1 L3 B0 ],3.4,0.0
8,4,36,896,[ R2 L3 R1 L3 B0 ],4.5,8.0
9,4,40,896,[ R2 L3 R1 L3 B0 ],3.5,8.0
10,1,44,899,[ R2 L3 R1 L3 B0 ],10.0,9.5
11,1,48,899,[ R2 L3 R1 L3 B0 ],9.0,9.5
12,1,52,899,[ R2 L3 R1 L3 B0 ],8.0,9.5
13,1,56,899,[ R2 L3 R1 L3 B0 ],7.0,9.5
14,1,60,899,[ R2 L3 R1 L3 B0 ],6.0,9.5
15,1,64,899,[ R2 L3 R1 L3 B0 ],5.0,9.5
16,1,67,899,[ R2 L3 R1 L3 B0 ],9.0,9.5
17,1,71,899,[ R2 L3 R1 L3 B0 ],8.0,9.5
18,1,75,899,[ R2 L3 R1 L3 B0 ],7.0,9.5
19,1,79,899,[ R2 L3 R1 L3 B0 ],6.0,9.5
20,1,83,899,[ R2 L3 R1 L3 B0 ],5.0,9.5
21,1,87,899,[ R2 L3 R1 L3 B0 ],4.0,9.5
22,1,91,899,[ R2 L3 R1 L3 B0 ],3.0,9.5
23,1,95,899,[ R2 L3 R1 L3 B0 ],2.0,9.5
24,1,99,899,[ R2 L3 R1 L3 B0 ],1.0,9.5
25,0,103,900,[ ],0.0,12.6
